SP2-0734: unknown command beginning "ttile 'Ses..." - rest of line ignored.

    CODIGO ISBN          COD_SUC COD_LECTOR ANIO                                                                                    
---------- ---------- ---------- ---------- ----                                                                                    
      6720 5025340             1   12515152 1990                                                                                    
      2040 5023576             1    7219752 1991                                                                                    
       912 5023300             1   11592038 1991                                                                                    
       720 5023192             1    9029648 1991                                                                                    
      3936 5024332             1    2894123 1991                                                                                    
      6516 5025268             1   32947683 1992                                                                                    
      2052 5023576             1     773983 1992                                                                                    
      6504 5025268             1   32947683 1992                                                                                    
      7944 5025808             1   16738222 1993                                                                                    
      7488 5025616             1    7425362 1993                                                                                    
      2280 5023636             1    8393920 1993                                                                                    
      5760 5025016             1   71954201 1993                                                                                    
      5388 5024908             1    6373728 1994                                                                                    
       732 5023192             1    7395860 1994                                                                                    
      2304 5023636             1    8939392 1994                                                                                    
      6732 5025340             1    8000202 1994                                                                                    
      5724 5025016             1    6883822 1995                                                                                    
      7956 5025808             1    7152638 1995                                                                                    
      3276 5023936             1   23435455 1997                                                                                    
      6480 5025268             1   71259836 1997                                                                                    
      6696 5025340             1   91243322 1997                                                                                    
      6492 5025268             1   74567890 1997                                                                                    
      3540 5024020             1    7823172 1998                                                                                    
      3528 5024020             1    7425362 1998                                                                                    
      2100 5023588             1    7395860 1999                                                                                    
      3300 5023936             1    7829354 1999                                                                                    
      2292 5023636             1    7838294 2000                                                                                    
      7500 5025616             1    2574114 2001                                                                                    
      7932 5025808             1    7839293 2001                                                                                    
      3288 5023936             1   71493016 2002                                                                                    
      2028 5023576             1   11543192 2003                                                                                    
      5736 5025016             1    8382939 2004                                                                                    
      3264 5023936             1   33333333 2005                                                                                    
      6708 5025340             1   33333333 2005                                                                                    
      3924 5024332             1    7828645 2005                                                                                    
      3516 5024020             1   11279546 2005                                                                                    
      5748 5025016             1   74567890 2006                                                                                    
      2268 5023636             1    5235323 2006                                                                                    
       708 5023192             1    8393920 2007                                                                                    
      2016 5023576             1   12283833 2007                                                                                    
      7476 5025616             1   12283833 2009                                                                                    
      7524 5025616             1    7301387 2010                                                                                    
      7968 5025808             1   11279546 2010                                                                                    
      2088 5023576             1    6883822 2010                                                                                    
      2076 5023576             1    8939302 2010                                                                                    
       936 5023300             1    4566784 2010                                                                                    
      3336 5023936             1    9029648 2010                                                                                    
      3552 5024020             1   12515152 2010                                                                                    
      6768 5025340             1    5235323 2010                                                                                    
       924 5023300             1    7462906 2010                                                                                    
      2112 5023588             1    7838294 2010                                                                                    
      3312 5023936             1    7462906 2010                                                                                    
      2316 5023636             1   20937832 2011                                                                                    
      3324 5023936             1   74567890 2011                                                                                    
      7512 5025616             1    4568418 2011                                                                                    
      6756 5025340             1   33333333 2011                                                                                    
      2064 5023576             1    7453920 2011                                                                                    
      3948 5024332             1    7829354 2011                                                                                    
      6744 5025340             1    7839282 2011                                                                                    
      2124 5023588             1    2315525 2011                                                                                    
      3348 5023936             1    7838294 2011                                                                                    
      4152 5024452             2    7389298 1990                                                                                    
      7548 5025652             2    7395860 1990                                                                                    
      1152 5023336             2    4568418 1992                                                                                    
      5256 5024884             2    7152638 1992                                                                                    
      7560 5025652             2   12312389 1993                                                                                    
      3132 5023876             2    7453920 1994                                                                                    
      6144 5025148             2     773983 1997                                                                                    
      7404 5025580             2    4839392 1997                                                                                    
      6588 5025292             2   22874843 1998                                                                                    
      1188 5023336             2   71954201 1998                                                                                    
      7416 5025580             2    7112783 1999                                                                                    
      6252 5025172             2    7453920 1999                                                                                    
      1764 5023516             2    6859236 2000                                                                                    
       696 5023180             2    2315525 2000                                                                                    
      4500 5024692             2    2894123 2001                                                                                    
      7536 5025652             2    6883822 2001                                                                                    
      1536 5023468             2    7432653 2002                                                                                    
      1176 5023336             2   94246322 2002                                                                                    
      3096 5023864             2   32947683 2003                                                                                    
      1164 5023336             2    7432653 2004                                                                                    
      6228 5025172             2    3546546 2004                                                                                    
      7992 5025808             2    7432653 2004                                                                                    
      7980 5025808             2   15838332 2005                                                                                    
       684 5023180             2    8433839 2005                                                                                    
      1212 5023372             2   14244148 2007                                                                                    
      3144 5023876             2    7453920 2007                                                                                    
      6528 5025268             2   14244148 2008                                                                                    
      7104 5025460             2    7251874 2008                                                                                    
      6240 5025172             2   22874843 2008                                                                                    
      7584 5025664             2   11932930 2008                                                                                    
      4512 5024692             2    4568418 2009                                                                                    
      3120 5023864             2    7348383 2010                                                                                    
      6168 5025148             2    2894123 2010                                                                                    
      7572 5025652             2   16738222 2010                                                                                    
      4164 5024452             2     773983 2010                                                                                    
      4176 5024452             2    7851489 2010                                                                                    

    CODIGO ISBN          COD_SUC COD_LECTOR ANIO                                                                                    
---------- ---------- ---------- ---------- ----                                                                                    
      4188 5024452             2    7112783 2010                                                                                    
      7116 5025460             2    7839282 2010                                                                                    
      1548 5023468             2    7219752 2010                                                                                    
      3108 5023864             2   11929273 2010                                                                                    
      4536 5024692             2    8000202 2010                                                                                    
      8004 5025808             2    3546546 2010                                                                                    
      6612 5025292             2   23435455 2010                                                                                    
      1200 5023336             2    7839293 2010                                                                                    
      8016 5025808             2    7829354 2010                                                                                    
      6600 5025292             2    2574114 2011                                                                                    
      6156 5025148             2   33333333 2011                                                                                    
      4524 5024692             2   11932930 2011                                                                                    
      3180 5023876             2   91243322 2011                                                                                    
      3168 5023876             2    7348383 2011                                                                                    
      3156 5023876             2   94246322 2011                                                                                    
      1800 5023516             2    8663873 2011                                                                                    
      1776 5023516             2    8939302 2011                                                                                    
      1224 5023372             2    7432653 2011                                                                                    
      7608 5025664             2   11543192 2011                                                                                    
      7596 5025664             2   71493016 2011                                                                                    
      1788 5023516             2   11000258 2011                                                                                    
      6336 5025244             3    6859236 1991                                                                                    
      4548 5024692             3    7897445 1991                                                                                    
      4428 5024620             3    7251874 1992                                                                                    
      1056 5023312             3   22874843 1993                                                                                    
      6636 5025304             3    7425362 1994                                                                                    
      1464 5023444             3    8939392 1995                                                                                    
